,empo_1,empo_2,empo_3
training_20583,Host-associated,Plant,Plant rhizosphere
training_20584,Host-associated,Animal,Animal secretion
training_20585,Free-living,Non-saline,Water (non-saline)
training_20586,Host-associated,Animal,Animal distal gut
training_20587,Free-living,Non-saline,Sediment (non-saline)
training_20588,Free-living,Saline,Water (saline)
training_20589,Host-associated,Animal,Animal secretion
training_20590,Host-associated,Animal,Animal distal gut
training_20591,Free-living,Non-saline,Soil (non-saline)
training_20592,Free-living,Non-saline,Surface (non-saline)
training_20593,Host-associated,Animal,Animal surface
training_20594,Host-associated,Animal,Animal distal gut
training_20595,Free-living,Non-saline,Water (non-saline)
training_20596,Free-living,Non-saline,Surface (non-saline)
training_20597,Free-living,Non-saline,Surface (non-saline)
training_20598,Free-living,Non-saline,Soil (non-saline)
training_20599,Host-associated,Animal,Animal surface
training_20600,Free-living,Non-saline,Water (non-saline)
training_20601,Host-associated,Plant,Plant corpus
training_20602,Free-living,Non-saline,Surface (non-saline)
training_20603,Free-living,Non-saline,Soil (non-saline)
training_20604,Free-living,Saline,Sediment (saline)
training_20605,Host-associated,Plant,Plant surface
training_20606,Host-associated,Plant,Plant surface
training_20607,Free-living,Non-saline,Water (non-saline)
training_20608,Free-living,Non-saline,Surface (non-saline)
training_20609,Free-living,Non-saline,Water (non-saline)
training_20610,Host-associated,Animal,Animal distal gut
training_20611,Free-living,Non-saline,Sediment (non-saline)
training_20612,Free-living,Non-saline,Soil (non-saline)
training_20613,Host-associated,Animal,Animal surface
training_20614,Free-living,Non-saline,Soil (non-saline)
training_20615,Free-living,Non-saline,Soil (non-saline)
training_20616,Host-associated,Animal,Animal distal gut
training_20617,Free-living,Non-saline,Water (non-saline)
training_20618,Free-living,Non-saline,Soil (non-saline)
training_20619,Host-associated,Animal,Animal secretion
training_20620,Host-associated,Animal,Animal distal gut
training_20621,Host-associated,Plant,Plant rhizosphere
training_20622,Free-living,Saline,Water (saline)
training_20623,Free-living,Non-saline,Water (non-saline)
training_20624,Host-associated,Animal,Animal secretion
training_20625,Free-living,Non-saline,Surface (non-saline)
training_20626,Host-associated,Animal,Animal distal gut
training_20627,Host-associated,Animal,Animal distal gut
training_20628,Host-associated,Animal,Animal secretion
training_20629,Free-living,Non-saline,Soil (non-saline)
training_20630,Host-associated,Animal,Animal distal gut
training_20631,Free-living,Non-saline,Sediment (non-saline)
training_20632,Free-living,Non-saline,Water (non-saline)
training_20633,Host-associated,Animal,Animal distal gut
training_20634,Free-living,Non-saline,Soil (non-saline)
training_20635,Free-living,Non-saline,Water (non-saline)
training_20636,Host-associated,Animal,Animal surface
training_20637,Free-living,Non-saline,Water (non-saline)
training_20638,Free-living,Non-saline,Soil (non-saline)
training_20639,Free-living,Non-saline,Soil (non-saline)
training_20640,Host-associated,Animal,Animal distal gut
training_20641,Free-living,Non-saline,Surface (non-saline)
training_20642,Host-associated,Animal,Animal distal gut
training_20643,Host-associated,Plant,Plant rhizosphere
training_20644,Host-associated,Plant,Plant surface
training_20645,Host-associated,Animal,Animal surface
training_20646,Host-associated,Animal,Animal secretion
training_20647,Free-living,Non-saline,Surface (non-saline)
training_20648,Host-associated,Animal,Animal surface
training_20649,Free-living,Non-saline,Soil (non-saline)
training_20650,Free-living,Non-saline,Water (non-saline)
training_20651,Host-associated,Animal,Animal distal gut
training_20652,Free-living,Non-saline,Soil (non-saline)
training_20653,Host-associated,Animal,Animal secretion
training_20654,Host-associated,Animal,Animal surface
training_20655,Host-associated,Animal,Animal distal gut
training_20656,Host-associated,Animal,Animal surface
training_20657,Free-living,Non-saline,Water (non-saline)
training_20658,Host-associated,Animal,Animal secretion
training_20659,Free-living,Non-saline,Soil (non-saline)
training_20660,Host-associated,Plant,Plant corpus
training_20661,Host-associated,Animal,Animal distal gut
training_20662,Host-associated,Animal,Animal corpus
training_20663,Free-living,Non-saline,Water (non-saline)
training_20664,Host-associated,Animal,Animal distal gut
training_20665,Host-associated,Animal,Animal surface
training_20666,Host-associated,Plant,Plant surface
training_20667,Host-associated,Animal,Animal distal gut
training_20668,Host-associated,Plant,Plant surface
training_20669,Host-associated,Animal,Animal distal gut
training_20670,Host-associated,Animal,Animal proximal gut
training_20671,Host-associated,Animal,Animal corpus
training_20672,Host-associated,Animal,Animal distal gut
training_20673,Free-living,Non-saline,Sediment (non-saline)
training_20674,Free-living,Non-saline,Soil (non-saline)
training_20675,Free-living,Non-saline,Soil (non-saline)
training_20676,Host-associated,Animal,Animal surface
training_20677,Free-living,Saline,Sediment (saline)
training_20678,Free-living,Non-saline,Water (non-saline)
training_20679,Free-living,Non-saline,Water (non-saline)
training_20680,Free-living,Non-saline,Surface (non-saline)
training_20681,Free-living,Saline,Sediment (saline)
training_20682,Host-associated,Animal,Animal distal gut
training_20683,Host-associated,Animal,Animal distal gut
training_20684,Free-living,Non-saline,Water (non-saline)
training_20685,Host-associated,Animal,Animal corpus
training_20686,Free-living,Non-saline,Water (non-saline)
training_20687,Host-associated,Animal,Animal proximal gut
training_20688,Host-associated,Animal,Animal distal gut
training_20689,Free-living,Non-saline,Sediment (non-saline)
training_20690,Host-associated,Animal,Animal surface
training_20691,Host-associated,Animal,Animal distal gut
training_20692,Free-living,Saline,Water (saline)
training_20693,Free-living,Non-saline,Water (non-saline)
training_20694,Host-associated,Animal,Animal distal gut
training_20695,Host-associated,Animal,Animal distal gut
training_20696,Host-associated,Animal,Animal secretion
training_20697,Host-associated,Animal,Animal distal gut
training_20698,Host-associated,Plant,Plant rhizosphere
training_20699,Free-living,Non-saline,Water (non-saline)
training_20700,Host-associated,Animal,Animal proximal gut
training_20701,Host-associated,Animal,Animal surface
training_20702,Host-associated,Animal,Animal distal gut
training_20703,Host-associated,Animal,Animal distal gut
training_20704,Free-living,Non-saline,Soil (non-saline)
training_20705,Free-living,Non-saline,Surface (non-saline)
training_20706,Host-associated,Plant,Plant rhizosphere
training_20707,Host-associated,Animal,Animal surface
training_20708,Free-living,Non-saline,Surface (non-saline)
training_20709,Host-associated,Animal,Animal surface
training_20710,Free-living,Non-saline,Water (non-saline)
training_20711,Free-living,Non-saline,Water (non-saline)
training_20712,Free-living,Non-saline,Water (non-saline)
training_20713,Host-associated,Animal,Animal distal gut
training_20714,Host-associated,Plant,Plant surface
training_20715,Host-associated,Animal,Animal distal gut
training_20716,Free-living,Non-saline,Soil (non-saline)
training_20717,Free-living,Non-saline,Soil (non-saline)
training_20718,Host-associated,Animal,Animal corpus
training_20719,Host-associated,Animal,Animal proximal gut
training_20720,Host-associated,Animal,Animal distal gut
training_20721,Free-living,Non-saline,Soil (non-saline)
training_20722,Host-associated,Animal,Animal distal gut
training_20723,Free-living,Non-saline,Water (non-saline)
training_20724,Host-associated,Animal,Animal surface
training_20725,Free-living,Saline,Sediment (saline)
training_20726,Free-living,Non-saline,Soil (non-saline)
training_20727,Host-associated,Plant,Plant surface
training_20728,Host-associated,Animal,Animal distal gut
training_20729,Free-living,Non-saline,Water (non-saline)
training_20730,Host-associated,Animal,Animal distal gut
training_20731,Host-associated,Plant,Plant surface
training_20732,Host-associated,Plant,Plant surface
training_20733,Free-living,Non-saline,Water (non-saline)
training_20734,Host-associated,Animal,Animal distal gut
training_20735,Free-living,Non-saline,Water (non-saline)
training_20736,Free-living,Non-saline,Soil (non-saline)
training_20737,Free-living,Non-saline,Surface (non-saline)
training_20738,Host-associated,Animal,Animal surface
training_20739,Host-associated,Animal,Animal secretion
training_20740,Free-living,Non-saline,Surface (non-saline)
training_20741,Host-associated,Animal,Animal distal gut
training_20742,Host-associated,Plant,Plant corpus
training_20743,Host-associated,Plant,Plant rhizosphere
training_20744,Host-associated,Plant,Plant corpus
training_20745,Free-living,Non-saline,Water (non-saline)
training_20746,Free-living,Non-saline,Water (non-saline)
training_20747,Free-living,Non-saline,Sediment (non-saline)
training_20748,Free-living,Non-saline,Water (non-saline)
training_20749,Free-living,Non-saline,Soil (non-saline)
training_20750,Host-associated,Animal,Animal distal gut
training_20751,Free-living,Non-saline,Water (non-saline)
training_20752,Free-living,Non-saline,Soil (non-saline)
training_20753,Free-living,Non-saline,Surface (non-saline)
training_20754,Free-living,Non-saline,Aerosol (non-saline)
training_20755,Free-living,Non-saline,Water (non-saline)
training_20756,Host-associated,Animal,Animal distal gut
training_20757,Host-associated,Animal,Animal distal gut
training_20758,Host-associated,Animal,Animal distal gut
training_20759,Host-associated,Animal,Animal distal gut
training_20760,Host-associated,Animal,Animal secretion
training_20761,Host-associated,Animal,Animal distal gut
training_20762,Free-living,Non-saline,Water (non-saline)
training_20763,Host-associated,Animal,Animal distal gut
training_20764,Host-associated,Animal,Animal distal gut
training_20765,Free-living,Non-saline,Water (non-saline)
training_20766,Free-living,Non-saline,Water (non-saline)
training_20767,Host-associated,Animal,Animal surface
training_20768,Free-living,Non-saline,Soil (non-saline)
training_20769,Free-living,Non-saline,Surface (non-saline)
training_20770,Host-associated,Animal,Animal surface
training_20771,Host-associated,Plant,Plant surface
training_20772,Host-associated,Plant,Plant rhizosphere
training_20773,Free-living,Non-saline,Water (non-saline)
training_20774,Free-living,Non-saline,Soil (non-saline)
training_20775,Host-associated,Animal,Animal distal gut
training_20776,Free-living,Non-saline,Water (non-saline)
training_20777,Free-living,Non-saline,Soil (non-saline)
training_20778,Host-associated,Plant,Plant surface
training_20779,Free-living,Non-saline,Soil (non-saline)
training_20780,Host-associated,Animal,Animal surface
training_20781,Free-living,Saline,Water (saline)
training_20782,Host-associated,Animal,Animal surface
training_20783,Free-living,Non-saline,Water (non-saline)
training_20784,Host-associated,Animal,Animal surface
training_20785,Host-associated,Animal,Animal distal gut
training_20786,Free-living,Non-saline,Surface (non-saline)
training_20787,Host-associated,Plant,Plant rhizosphere
training_20788,Free-living,Non-saline,Surface (non-saline)
training_20789,Host-associated,Animal,Animal distal gut
training_20790,Host-associated,Animal,Animal distal gut
training_20791,Host-associated,Animal,Animal distal gut
training_20792,Host-associated,Animal,Animal distal gut
training_20793,Free-living,Non-saline,Water (non-saline)
training_20794,Host-associated,Animal,Animal distal gut
training_20795,Host-associated,Animal,Animal distal gut
training_20796,Host-associated,Plant,Plant rhizosphere
training_20797,Host-associated,Animal,Animal distal gut
training_20798,Host-associated,Animal,Animal distal gut
training_20799,Free-living,Non-saline,Water (non-saline)
training_20800,Host-associated,Animal,Animal surface
training_20801,Host-associated,Animal,Animal distal gut
training_20802,Host-associated,Animal,Animal distal gut
training_20803,Free-living,Non-saline,Water (non-saline)
training_20804,Free-living,Non-saline,Soil (non-saline)
training_20805,Free-living,Non-saline,Water (non-saline)
